scenario,sim_time,day_time,job_id,source,event_type,technician,station,remaining_time,outcome,wait_time,turnaround_time,service_time,generated_at
base run,206.6253911796212,Day 8 - Tuesday 14:38,RESHIP-3,Reship,finished,Tech 2,Station 2,0,reshipped,29.69999999999999,31.625391179621204,1.9253911796212178,2026-07-16T19:34:27.108097
base run,206.6253911796212,Day 8 - Tuesday 14:38,RMA-5,Customer RMA,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,207.5,Day 8 - Tuesday 15:30,RMA-5,Customer RMA,paused,Tech 2,Station 2,15.74205784628787,,,,,2026-07-16T19:34:27.108097
base run,223.0,Day 9 - Wednesday 07:00,PROD-6,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,223.0,Day 9 - Wednesday 07:00,PROD-6,Production Failure,started,Tech 1,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,223.5,Day 9 - Wednesday 07:30,PROD-6,Production Failure,finished,Tech 1,Station 1,0,rtv,0.0,0.5,0.5,2026-07-16T19:34:27.108097
base run,228.71917502704332,Day 9 - Wednesday 12:43,PROD-7,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,228.71917502704332,Day 9 - Wednesday 12:43,PROD-7,Production Failure,started,Tech 1,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,229.21917502704332,Day 9 - Wednesday 13:13,PROD-7,Production Failure,finished,Tech 1,Station 1,0,rtv,0.0,0.5,0.5,2026-07-16T19:34:27.108097
base run,231.2104447553631,Day 9 - Wednesday 15:13,RMA-7,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,231.2104447553631,Day 9 - Wednesday 15:13,RMA-7,Customer RMA,started,Tech 1,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,231.5,Day 9 - Wednesday 15:30,RMA-5,Customer RMA,paused,Tech 2,Station 2,7.242057846287871,,,,,2026-07-16T19:34:27.108097
base run,231.5,Day 9 - Wednesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 1,297.34377808869647,,,,,2026-07-16T19:34:27.108097
base run,247.0,Day 10 - Thursday 07:00,ADVEX-5,Advance Exchange,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,247.0,Day 10 - Thursday 07:00,RMA-8,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,248.67054100901217,Day 10 - Thursday 08:40,RMA-9,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,254.24205784628788,Day 10 - Thursday 14:15,RMA-5,Customer RMA,finished,Tech 2,Station 2,0,repaired,31.625391179621204,79.24205784628788,16.616666666666667,2026-07-16T19:34:27.108097
base run,254.24205784628788,Day 10 - Thursday 14:15,RMA-7,Customer RMA,interrupted,Tech 1,Station 1,297.34377808869647,,,,,2026-07-16T19:34:27.108097
base run,254.24205784628788,Day 10 - Thursday 14:15,RESHIP-4,Reship,started,Tech 2,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,254.24205784628788,Day 10 - Thursday 14:15,RMA-7,Customer RMA,started,Tech 1,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,255.5,Day 10 - Thursday 15:30,RESHIP-4,Reship,paused,Tech 2,Station 1,0.2412891057801554,,,,,2026-07-16T19:34:27.108097
base run,255.5,Day 10 - Thursday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,296.08583593498435,,,,,2026-07-16T19:34:27.108097
