scenario,sim_time,day_time,tech_queue_length,station_queue_length,techs_busy,techs_idle,stations_busy,stations_idle,generated_at
base run,605,Day 25 - Friday 05:00,24,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,610,Day 25 - Friday 10:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,615,Day 25 - Friday 15:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,620,Day 25 - Friday 20:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,625,Day 26 - Saturday 01:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,630,Day 26 - Saturday 06:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,635,Day 26 - Saturday 11:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,640,Day 26 - Saturday 16:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,645,Day 26 - Saturday 21:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,650,Day 27 - Sunday 02:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,655,Day 27 - Sunday 07:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,660,Day 27 - Sunday 12:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,665,Day 27 - Sunday 17:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,670,Day 27 - Sunday 22:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,675,Day 28 - Monday 03:00,26,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,680,Day 28 - Monday 08:00,28,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,685,Day 28 - Monday 13:00,28,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,690,Day 28 - Monday 18:00,28,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,695,Day 28 - Monday 23:00,28,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,700,Day 29 - Tuesday 04:00,28,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,705,Day 29 - Tuesday 09:00,30,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,710,Day 29 - Tuesday 14:00,31,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,715,Day 29 - Tuesday 19:00,31,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,720,Day 30 - Wednesday 00:00,31,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,725,Day 30 - Wednesday 05:00,31,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,730,Day 30 - Wednesday 10:00,33,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,735,Day 30 - Wednesday 15:00,33,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,740,Day 30 - Wednesday 20:00,33,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,745,Day 31 - Thursday 01:00,33,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,750,Day 31 - Thursday 06:00,33,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,755,Day 31 - Thursday 11:00,35,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,760,Day 31 - Thursday 16:00,35,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,765,Day 31 - Thursday 21:00,35,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,770,Day 32 - Friday 02:00,35,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,775,Day 32 - Friday 07:00,36,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,780,Day 32 - Friday 12:00,36,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,785,Day 32 - Friday 17:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,790,Day 32 - Friday 22:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,795,Day 33 - Saturday 03:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,800,Day 33 - Saturday 08:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,805,Day 33 - Saturday 13:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,810,Day 33 - Saturday 18:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,815,Day 33 - Saturday 23:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,820,Day 34 - Sunday 04:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
